iter	Passed	Remaining
0	4	460
1	9	451
2	13	439
3	16	391
4	19	361
5	21	331
6	23	309
7	25	295
8	27	276
9	29	261
10	30	248
11	32	236
12	33	224
13	34	213
14	36	204
15	37	196
16	39	193
17	40	185
18	41	178
19	42	171
20	43	165
21	45	159
22	46	156
23	48	152
24	48	146
25	49	142
26	50	137
27	51	133
28	52	129
29	53	125
30	54	121
31	55	117
32	56	114
33	57	111
34	58	108
35	59	106
36	60	103
37	61	99
38	62	97
39	62	94
40	63	91
41	64	88
42	65	86
43	66	84
44	67	82
45	68	79
46	68	77
47	69	75
48	70	73
49	71	71
50	71	69
51	72	67
52	73	65
53	74	63
54	75	61
55	75	59
56	76	57
57	77	55
58	78	54
59	78	52
60	79	50
61	81	49
62	82	48
63	83	46
64	83	45
65	84	43
66	85	42
67	86	40
68	86	39
69	87	37
70	88	36
71	89	34
72	90	33
73	90	31
74	91	30
75	92	29
76	93	27
77	94	26
78	94	25
79	95	23
80	96	22
81	96	21
82	97	20
83	98	18
84	99	17
85	100	16
86	101	15
87	102	13
88	103	12
89	103	11
90	104	10
91	105	9
92	106	7
93	107	6
94	107	5
95	108	4
96	109	3
97	110	2
98	111	1
99	111	0
