iter	RMSE
0	14.69208357
1	14.33004651
2	13.95763959
3	13.63225458
4	13.28425744
5	12.98844654
6	12.69760701
7	12.43513619
8	12.16220395
9	11.87761996
10	11.62391572
11	11.36021934
12	11.11209448
13	10.8570676
14	10.62520347
15	10.41099273
16	10.19264335
17	9.980035714
18	9.802052641
19	9.633984495
20	9.448816527
21	9.287039171
22	9.133753768
23	8.986758086
24	8.831498455
25	8.691121166
26	8.548188505
27	8.409848602
28	8.268465258
29	8.145312421
30	8.025533317
31	7.910532318
32	7.803338635
33	7.692785628
34	7.592203879
35	7.495494809
36	7.402867202
37	7.312198813
38	7.226095595
39	7.145827709
40	7.073170645
41	7.009467432
42	6.941162209
43	6.879313681
44	6.809978594
45	6.744708469
46	6.693782484
47	6.630429292
48	6.576918957
49	6.5261816
50	6.477970883
51	6.43073427
52	6.384770216
53	6.341950816
54	6.288722051
55	6.250377633
56	6.208961138
57	6.167265194
58	6.124266644
59	6.095564412
60	6.059342705
61	6.026451807
62	5.996807243
63	5.972330497
64	5.936133624
65	5.908385848
66	5.875928124
67	5.850128331
68	5.829358275
69	5.805476293
70	5.780181285
71	5.759965409
72	5.742021296
73	5.722058263
74	5.700900189
75	5.681695004
76	5.661283788
77	5.646304355
78	5.631582765
79	5.6140129
80	5.598191188
81	5.580811138
82	5.561525172
83	5.544928462
84	5.534478275
85	5.516201401
86	5.509752629
87	5.498474503
88	5.487305343
89	5.472831018
90	5.459624052
91	5.447392627
92	5.440195257
93	5.428222136
94	5.413907708
95	5.402470734
96	5.392373792
97	5.381704154
98	5.370292579
99	5.360281561
100	5.349724402
101	5.337964228
102	5.331138217
103	5.321437637
104	5.312138503
105	5.301293205
106	5.293434031
107	5.285868427
108	5.275804426
109	5.265544816
110	5.258611496
111	5.250273334
112	5.241591546
113	5.232396959
114	5.228574598
115	5.222823565
116	5.217480207
117	5.210540566
118	5.20594732
119	5.200934913
120	5.193511885
121	5.18793145
122	5.184542862
123	5.176310369
124	5.168989764
125	5.164074771
126	5.158874621
127	5.154165551
128	5.149776384
129	5.141531709
130	5.137572652
131	5.132399284
132	5.127774707
133	5.124612083
134	5.119301381
135	5.117907609
136	5.113472924
137	5.109227887
138	5.104281424
139	5.095817682
140	5.089389733
141	5.085185683
142	5.080523857
143	5.074976265
144	5.071915094
145	5.06591826
146	5.060111627
147	5.056425263
148	5.053571328
149	5.049582974
150	5.04366985
151	5.040962854
152	5.037314014
153	5.033677987
154	5.02875035
155	5.025397573
156	5.021042913
157	5.019094956
158	5.015137561
159	5.012044808
160	5.008819873
161	5.007420165
162	5.006542741
163	5.003648847
164	4.995405856
165	4.991433275
166	4.990652621
167	4.98783855
168	4.98159549
169	4.978977909
170	4.975553152
171	4.968245913
172	4.963514595
173	4.956166822
174	4.947560224
175	4.939403587
176	4.935850064
177	4.931406168
178	4.929785756
179	4.924039874
180	4.919142339
181	4.914596527
182	4.909386242
183	4.903886182
184	4.900746378
185	4.896082911
186	4.891495815
187	4.889921819
188	4.885045803
189	4.882999819
190	4.879841021
191	4.877343132
192	4.870408124
193	4.866445741
194	4.863017592
195	4.854974072
196	4.851090958
197	4.847531355
198	4.845700129
199	4.839614235
200	4.834402441
201	4.831149095
202	4.827968272
203	4.824542504
204	4.820460387
205	4.816723977
206	4.813911986
207	4.812033232
208	4.808488292
209	4.803900311
210	4.800867968
211	4.7961363
212	4.792822995
213	4.789460349
214	4.786716184
215	4.782574808
216	4.779339897
217	4.777696334
218	4.774683219
219	4.772221179
220	4.76603521
221	4.760990476
222	4.757487271
223	4.756692299
224	4.753885958
225	4.748627256
