iter	Passed	Remaining
0	134	134569
1	136	67867
2	137	45544
3	137	34330
4	139	27733
5	141	23387
6	142	20150
7	143	17753
8	144	15867
9	145	14355
10	145	13122
11	146	12084
12	147	11203
13	148	10446
14	149	9792
15	149	9224
16	150	8723
17	152	8330
18	154	7955
19	154	7593
20	155	7263
21	156	6965
22	157	6693
23	158	6440
24	159	6208
25	159	5992
26	160	5793
27	161	5609
28	162	5437
29	163	5276
30	163	5125
31	164	4984
32	166	4884
33	167	4771
34	168	4653
35	169	4540
36	170	4433
37	171	4331
38	171	4235
39	172	4144
40	173	4058
41	174	3976
42	175	3897
43	175	3821
44	176	3749
45	177	3680
46	178	3613
47	181	3591
48	182	3546
49	184	3500
50	185	3445
51	186	3392
52	186	3339
53	187	3289
54	188	3240
55	189	3191
56	190	3145
57	190	3101
58	192	3068
59	193	3033
60	194	2993
61	195	2953
62	195	2914
63	196	2877
64	197	2842
65	198	2806
66	199	2772
67	199	2739
68	200	2707
69	201	2676
70	202	2645
71	202	2616
72	203	2587
73	204	2558
74	205	2531
75	206	2510
76	207	2486
77	208	2461
78	209	2437
79	209	2414
80	210	2391
81	211	2371
82	212	2351
83	213	2329
84	214	2306
85	215	2285
86	215	2262
87	216	2242
88	217	2222
89	217	2203
90	218	2184
91	219	2165
92	220	2147
93	221	2133
94	222	2117
95	223	2105
96	224	2093
97	226	2086
98	228	2078
99	229	2067
100	230	2054
101	232	2042
102	233	2030
103	234	2018
104	236	2012
105	237	2006
106	239	2000
107	241	1995
108	244	1995
109	246	1991
110	248	1986
111	250	1988
112	252	1984
113	254	1974
114	254	1962
115	256	1953
116	257	1944
117	258	1935
118	260	1924
119	261	1916
120	263	1911
121	265	1912
122	266	1900
123	267	1892
124	269	1884
125	270	1876
126	271	1869
127	273	1863
128	274	1856
129	276	1848
130	277	1841
131	278	1834
132	280	1830
133	282	1823
134	283	1816
135	284	1808
136	285	1801
137	288	1800
138	289	1794
139	291	1788
140	293	1787
141	295	1783
142	297	1781
143	298	1776
144	300	1769
145	301	1766
146	303	1763
147	305	1757
148	306	1751
149	308	1746
150	309	1740
151	311	1738
152	313	1738
153	315	1733
154	318	1733
155	319	1731
156	321	1726
157	323	1721
158	325	1719
159	327	1718
160	329	1718
161	330	1710
162	334	1717
163	336	1713
164	338	1712
165	341	1714
166	342	1706
167	343	1701
168	344	1696
169	347	1696
170	349	1695
171	351	1692
172	352	1687
173	354	1684
174	356	1681
175	358	1676
176	359	1671
177	361	1667
178	362	1663
179	364	1658
180	365	1653
181	366	1647
182	367	1641
183	368	1635
184	370	1630
185	371	1625
186	372	1619
187	373	1613
188	374	1607
189	375	1602
190	377	1598
191	378	1593
192	379	1587
193	380	1582
194	382	1577
195	383	1573
196	385	1573
197	387	1570
198	388	1564
199	389	1559
200	391	1556
201	393	1553
202	394	1548
203	395	1543
204	396	1538
205	397	1533
206	400	1533
207	402	1530
208	403	1526
209	407	1533
210	409	1531
211	410	1527
212	412	1522
213	413	1518
214	415	1518
215	417	1514
216	419	1512
217	420	1508
218	423	1508
219	424	1506
220	426	1501
221	427	1497
222	428	1494
223	430	1491
224	432	1488
225	433	1484
226	434	1480
227	436	1479
228	438	1475
229	439	1472
230	440	1466
231	441	1462
232	443	1459
233	445	1457
234	446	1453
235	447	1449
236	449	1445
237	450	1441
238	451	1437
239	452	1434
240	455	1435
241	457	1431
242	458	1429
243	459	1425
244	461	1421
245	462	1417
246	464	1416
247	468	1420
248	472	1424
249	473	1420
250	475	1418
251	476	1414
252	477	1410
253	478	1406
254	480	1402
255	481	1400
256	483	1397
257	484	1393
258	486	1390
259	487	1386
260	490	1387
261	491	1384
262	492	1381
263	494	1377
264	496	1375
265	497	1372
266	498	1369
267	500	1367
268	501	1363
269	503	1360
270	504	1357
271	505	1354
272	507	1350
273	508	1347
274	509	1343
275	511	1342
276	512	1338
277	514	1335
278	515	1331
279	516	1328
280	518	1325
281	519	1322
282	520	1319
283	521	1315
284	523	1312
285	524	1309
286	526	1308
287	527	1305
288	529	1302
289	530	1299
290	531	1296
291	533	1293
292	534	1290
293	535	1286
294	537	1283
295	538	1280
296	539	1278
297	541	1275
298	542	1272
299	544	1270
300	545	1267
301	547	1264
302	548	1262
303	550	1259
304	551	1256
305	552	1252
306	553	1249
307	555	1248
308	557	1245
309	558	1242
310	559	1239
311	561	1237
312	562	1234
313	563	1231
314	565	1228
315	566	1225
316	567	1222
317	568	1219
318	570	1218
319	571	1215
320	573	1212
321	574	1209
322	575	1205
323	576	1203
324	578	1201
